21128147,Мощный Игровой Компьютер Robotcomp Анаконда 3.0 V2,160066.0,5,0,Robotcomp,4.7,Intel Core i5,DDR 4,32,0,2000,NVIDIA GeForce RTX 3080,800330.0,10
21128494,Мощный Игровой Компьютер Robotcomp Анаконда 3.0 V3,165484.0,5,0,Robotcomp,4.7,Intel Core i5,DDR 4,32,0,2000,NVIDIA GeForce RTX 3080,827420.0,10
21135021,Офисный Компьютер Robotcomp Секретарь V1,21355.0,20,4,Robotcomp,4.7,AMD Athlon,DDR 4,8,0,240,AMD Radeon Vega 3,427100.0,2
21135358,Офисный Компьютер Robotcomp Секретарь V2,29482.0,5,1,Robotcomp,4.7,AMD Athlon,DDR 4,8,0,240,AMD Radeon Vega 3,147410.0,2
21135607,Офисный Компьютер Robotcomp Секретарь V3,34788.0,10,4,Robotcomp,4.7,AMD Athlon,DDR 4,8,0,240,AMD Radeon Vega 3,347880.0,2
21141344,Игровой Компьютер Robotcomp М16 3.0 V1,72672.0,5,1,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,960,NVIDIA GeForce RTX 3050,363360.0,6
21141660,Игровой Компьютер Robotcomp М16 3.0 V2,76363.0,10,7,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,960,NVIDIA GeForce RTX 3050,763630.0,6
21144526,Игровой Компьютер Robotcomp М16 3.0 V3,76249.0,20,4,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,960,NVIDIA GeForce RTX 3050,1524980.0,6
21249674,Игровой Компьютер Robotcomp Аллигатор 2.0 V1,36803.0,100,21,Robotcomp,4.7,AMD Ryzen 5,DDR 4,16,0,512,AMD Radeon Vega 7,3680300.0,6
21251610,Игровой Компьютер Robotcomp Аллигатор 2.0 V2,36918.0,10,14,Robotcomp,4.7,AMD Ryzen 5,DDR 4,16,0,512,AMD Radeon Vega 7,369180.0,6
21257797,Игровой Компьютер Robotcomp Аллигатор 2.0 V3,36589.0,10,3,Robotcomp,4.7,AMD Ryzen 5,DDR 4,16,0,480,AMD Radeon Vega 7,365890.0,6
21369460,Игровой Компьютер Robotcomp Анаконда,86946.0,10,4,Robotcomp,4.7,Intel Core i5,DDR 4,16,0,512,NVIDIA GeForce RTX 3060,869460.0,10
